,feature,importance,
6159,EEF1G Translation elongation factor 1 gamma,0,
1676,EEF1G Translation elongation factor 1 gamma,0,
4864,EEF2 Eukaryotic translation elongation factor 2,0,
4209,EEF2 Eukaryotic translation elongation factor 2,0,
1470,Effector cell protease receptor-1 (EPR-1) gene; partial cds,0,
4064,EGF Epidermal growth factor,0,
4019,EGFR Epidermal growth factor receptor,0,
4236,EGR1 Early growth response protein 1,0,
1099,EGR2 Early growth response 2 (Krox-20 (Drosophila) homolog),0,
6678,EGR4 Early growth response 4,0,
1228,EHHADH Enyol-coA: hydratase 3-hydroxyacyl-coA dehydrogenase,0,
1054,EIF2A Eukaryotic translation initiation factor 2A,0,
3001,EIF-2-associated p67 homolog mRNA,0,
4843,EIF2B Eukaryotic translation initiation factor 2B (eIF-2B) alpha subunit,0,
2926,EIF2B Eukaryotic translation initiation factor 2B epsilon,0,
3104,EIF3 Eukaryotic translation initiation factor 3 (eIF-3) p36 subunit,0,
214,EIF4A1 Eukaryotic translation initiation factor 4A (eIF-4A) isoform 1,0,
352,EIF4A2 Eukaryotic translation initiation factor 4A (eIF-4A) isoform 2,0,
1356,EIF4C Eukaryotic translation initiation factor 4C (eIF-4C),0,
1733,EIF4E Eukaryotic translation initiation factor 4E,0,
188,EIF4G Eukaryotic translation initiation factor 4 (eIF-4) gamma,0,
3307,EIF5 Eukaryotic translation initiation factor 5 (eIF5),0,
6424,EIF5A Eukaryotic translation initiation factor 5A,0,
5387,EIF5A Eukaryotic translation initiation factor 5A,0,
6192,ELA1 Elastase 1; pancreatic (elastase IIA),0,
6191,ELA1 Elastase 1; pancreatic (elastase IIA),0,
6217,ELA2 Elastatse 2; neutrophil,0.007466667,
805,Elastase 1,0,
5539,ELASTASE IIIA PRECURSOR,0,
5814,Elastin gene; partial cds and partial 3'UTR,0,
5813,Elastin gene; partial cds and partial 3'UTR,0,
5811,Elastin; Alt. Splice 2,0,
6484,ELAV-like neuronal protein-2 Hel-N2 mRNA,0,
2464,Electron transfer flavoprotein-ubiquinone oxidoreductase [human; fetal liver; mRNA; 2124 nt],0,
1854,ELK1 ELK1; member of ETS oncogene family,0,
2293,ELK4 ELK4; ETS-domain protein (SRF accessory protein 1) NOTE: Symbol and name provisional,0,
2292,ELK4 SRF accessory protein 1B (SAP-1),0,
2827,ELL mRNA,0,
2492,ELONGATION FACTOR TU; MITOCHONDRIAL PRECURSOR,0,
4350,Elongation factor-1-beta,0,
2328,ELP-1 mRNA sequence,0,
4530,E-MAP-115 mRNA,0,
3934,Embryonic ectoderm development protein homolog (eed) mRNA; partial cds,0,
4681,EMD Emerin (Emery-Dreifuss muscular dystrophy),0,
4663,EMR1 Egf-like module containing; mucin-like; hormone receptor-like sequence 1,0,
5082,Encoding CLA-1 mRNA,0,
1879,Endogenous retroviral protease mRNA,0,
3818,Endometrial bleeding associated factor mRNA,0,
3798,Endonuclease III homolog mRNA,0,
1022,Endothelial Cell Growth Factor 1,0,
1500,Endothelial cell protein C/APC receptor (EPCR) mRNA,0,
4514,ENG Endoglin (Osler-Rendu-Weber syndrome 1),0,
1298,Engrailed protein (EN2) gene; 5' end,0,
1625,Enhancer of filamentation (HEF1) mRNA,0,
6573,Enhancer of rudimentary homolog mRNA,0,
648,Enhancer of rudimentary homolog mRNA,0,
5643,Enhancer protein in hsp70 gene; partial cds,0,
1496,Enigma gene,0,
6178,ENO1 Enolase 1; (alpha),0,
4221,ENO2 gene for neuron specific (gamma) enolase,0,
6666,ENO3 Enolase 3; (beta; muscle),0,
1296,ENPEP Glutamyl aminopeptidase (aminopeptidase A),0,
164,Enteric smooth muscle gamma-actin gene; 5' flank and,0,
4143,EOSINOPHIL PEROXIDASE PRECURSOR,0,
6954,EP3-IV gene extracted from Human DNA for prostaglandin E receptor EP3 subtype,0,
5678,EP3-IV gene extracted from Human DNA for prostaglandin E receptor EP3 subtype,0,
651,EP3-IV gene extracted from Human DNA for prostaglandin E receptor EP3 subtype,0,
2098,EPB41 Erythrocyte membrane protein band 4.1 (elliptocytosis 1; RH-linked),0,
2077,EPB42 Erythrocyte membrane protein band 4.2,0,
6538,Epb72 gene exon 1,0.01,
2043,EPH-RELATED RECEPTOR TYROSINE KINASE LIGAND 1 PRECURSOR,0,
5963,EPHX1 Epoxide hydrolase 1; microsomal (xenobiotic),0,
1215,EPHX2 Epoxide hydrolase 2; cytoplasmic,0,
5809,Epican; Alt. Splice 1,0,
5807,Epican; Alt. Splice 11,0.007300098,
5808,Epican; Alt. Splice 12,0,
2759,Epidermal growth factor receptor kinase substrate (Eps8) mRNA,0,
935,Epidermal Growth Factor Receptor-Related Protein,0,
605,Epidermoid carcinoma mRNA for ubiquitin-conjugating enzyme E2 similar to Drosophila bendless gene product,0,
937,Epiligrin; Alpha 3,0,
5571,Epimorphin,0,
3690,Epithelial-specific transcription factor ESE-1b (ESE-1) mRNA,0,
3816,EPLG5 Eph-related receptor tyrosine kinase ligand 5,0,
2961,EPLG7 Eph-related receptor tyrosine kinase ligand 7,0,
3572,EPLG8 Eph-related receptor tyrosine kinase ligand 8),0,
4875,EPOR Erythropoietin receptor,0,
2082,EPOR Erythropoietin receptor,0,
5105,EPS15 Epidermal growth factor receptor pathway substrate 15,0,
2583,Epsilon-globin gene extracted from Human beta globin region on chromosome 11,0,
1027,Epstein-Barr Virus Small Rna-Associated Protein,0,
2878,Epstein-Barr virus-induced protein mRNA,0,
4283,ER LUMEN PROTEIN RETAINING RECEPTOR 1,0,
6162,ERBB2 V-erb-b2 avian erythroblastic leukemia viral oncogene homolog 2 (neuro/glioblastoma derived oncogene homolog),0,
1688,ERBB2 V-erb-b2 avian erythroblastic leukemia viral oncogene homolog 2 (neuro/glioblastoma derived oncogene homolog),0,
1973,ERBB3 V-erb-b2 avian erythroblastic leukemia viral oncogene homolog 3 {alternative products},0,
2449,ERBB3 V-erb-b2 avian erythroblastic leukemia viral oncogene homolog 3 {alternative products},0,
1242,ERBB4 V-erb-a avian erythroblastic leukemia viral oncogene homolog-like 4,0,
4608,ERC-55 mRNA,0,
1696,ERCC1 Excision repair cross-complementing rodent repair deficiency; complementation group 1 (includes overlapping antisense sequence),0,
1938,ERCC3 DNA repair helicase ERCC3,0,
4493,ERCC5 DNA excision repair protein ERCC5,0,
4620,ERF-1 mRNA 3' end,0,
4618,ERF-2 mRNA,0,
2676,ERF-2 mRNA,0,
6474,ERGIC-53 PROTEIN PRECURSOR,0,
5476,ERGIC-53 PROTEIN PRECURSOR,0,
4648,ERK3 protein kinase mRNA,0,
4627,ERK6 mRNA for extracellular signal regulated kinase,0,
4848,Erm gene; exon 2;3;4;5 (and joined CDS),0,
4829,ERp31 protein,0,
5436,ERPROT 213-21 mRNA,0,
4303,ERR Ecotropic retroviral receptor,0,
5904,Erythrocyte adducin alpha subunit gene extracted from Human DNA sequence from cosmid L25A3; Huntington's Disease Region; chromosome 4p16.3 contains Human tetracycline transporter-like protein and erythrocyte adducin alpha subunit; multiple ESTs and a putative CpG island,0,
4408,ERYTHROCYTE PLASMA MEMBRANE 50 KD GLYCOPROTEIN,0,
3552,Erythroid-specific transcription factor EKLF mRNA,0.00703125,
4028,Erythropoietin,0,
1699,ESD Esterase D/formylglutathione hydrolase,0,
4765,ESM-1 protein,0,
426,ESP1/CRP2,0,
4901,ESR Estrogen receptor,0.001120513,
4046,ESR Estrogen receptor,0,
855,Estradiol 17-beta dehydrogenase 1,0,
5825,Estrogen Receptor (Gb:S67777),0,
1534,Estrogen receptor-related protein (hERRa1) mRNA; 3' end; partial cds,0,
278,Estrogen responsive finger protein,0,
6988,Estrogen sulfotransferase mRNA,0,
3403,Estrogen sulfotransferase mRNA; partial cds,0,
982,Estrogen Sulfotransferase; Ste,0,
1098,ETFA Electron-transfer-flavoprotein; alpha polypeptide (glutaric aciduria II),0,
4506,ETFB Electron-transfer-flavoprotein; beta polypeptide,0,
429,ETO mRNA,0,
2818,Ets domain protein ERF mRNA,0,
6563,Ets transcription factors NERF-1a and NERF-1b (NERF-1a;b) mRNA,0,
1103,ETS2 V-ets avian erythroblastosis virus E26 oncogene homolog 2,0,
1343,ETS-RELATED PROTEIN PE-1,0,
2268,ETS-RELATED TRANSCRIPTION FACTOR ELF-1,0,
2853,ETV4 Ets variant gene 4 (E1A enhancer-binding protein; E1AF),0,
288,EUKARYOTIC INITIATION FACTOR 4A-LIKE NUK-34,0,
4280,EUKARYOTIC INITIATION FACTOR 4B,0,
6361,EUKARYOTIC PEPTIDE CHAIN RELEASE FACTOR SUBUNIT 1,0,
5487,EUKARYOTIC PEPTIDE CHAIN RELEASE FACTOR SUBUNIT 1,0,
3735,Eukaryotic translation initiation factor (eIF3) mRNA,0,
2547,Evi-1,0,
2024,EVI2A PROTEIN PRECURSOR TROPIC VIRAL INTEGRATION SITE 2A PROTEIN),0,
2091,EVI2B PROTEIN PRECURSOR TROPIC VIRAL INTEGRATION SITE 2B PROTEIN),0,
3393,EVPL Envoplakin,0,
4352,EVX1 Even-skipped homeo box 1 (homolog of Drosophila),0,
4959,EWS; gar22; rrp22 and bam22 genes,0,
4447,EWSR1 Ewing sarcoma breakpoint region 1,0,
315,EXCITATORY AMINO ACID TRANSPORTER 1,0,
4017,Exon 1 from  Human prolactin gene 5' region./ntype=DNA /annot=mRNA,0,
6780,Exon 1b; used only in type 2 transcripts from  H.sapiens dbi/acbp gene exon 1 & 2./ntype=DNA /annot=exon,0.001171105,
4957,Exon A1 from  H.sapiens gene encoding RING finger protein./ntype=DNA /annot=exon,0,
4958,Exon A2 from  H.sapiens gene encoding RING finger protein./ntype=DNA /annot=exon,0,
5089,Exon2A from  H.sapiens MTCP1 gene; exons 2A to 7 (and joined mRNA)./ntype=DNA /annot=exon,0,
5611,Exon2a from  Human PAP (pancreatitis-associated protein) gene; 5'-flanking region./ntype=DNA /annot=exon,0,
2521,EXT1 Exostoses (multiple) 1,0,
6600,EXT2 Exostoses (multiple) 2,0,
6601,EXT2 Exostoses (multiple) 2,0,
5736,External Membrane Protein; 130 Kda (Gb:Z22971),0,
1497,Extracellular matrix protein (MFAP3) gene,0,
3561,Extracellular matrix protein 1 (ECM1) mRNA,0,
5032,Extracellular matrix protein collagen type XIV; C-terminus,0,
4344,EXTRACELLULAR SIGNAL-REGULATED KINASE 1,0,
4334,EXTRACELLULAR SIGNAL-REGULATED KINASE 3,0,
3650,Eyes absent homolog (Eab1) mRNA,0,
3321,EZH1 Enhancer of zeste (Drosophila) homolog 1,0,
1788,F11 Coagulation factor XI (plasma thromboplastin antecedent),0,
4595,F11 mRNA,0,
1761,F12 Coagulation factor XII (Hageman factor),0,
2151,F13A1 gene (coagulation factor XIIIb) extracted from Human factor XIII b subunit gene,0,
109,F25451_2 gene extracted from Human DNA from overlapping chromosome 19 cosmids R31396; F25451; and R31076 containing COX6B and UPKA; genomic sequence,0,
107,F25451_3 gene extracted from Human DNA from overlapping chromosome 19 cosmids R31396; F25451; and R31076 containing COX6B and UPKA; genomic sequence,0,
2107,F2R Coagulation factor II (thrombin) receptor,0,
5942,F3 Coagulation factor III (thromboplastin; tissue factor),0,
1756,F5 Coagulation factor V,0,
1712,F8C Coagulation factor VIIIc (hemophilia A),0,
1163,F9 Coagulation factor IX (plasma thromboplastic component; Christmas disease; hemophilia B),0,
4906,FAA protein,0,
1057,FABP4 Fatty acid binding protein 4; adipocyte,0,
6688,FACC Fanconi anemia complementation group C,0,
2745,Faciogenital dysplasia (FGD1) mRNA,0,
5240,FACL1 Long chain fatty acid acyl-coA ligase,0,
5544,FACL1 Long chain fatty acid acyl-coA ligase,0,
5944,Factor VII serine protease precursor mRNA; clone lambda-HVII2463,0,
1980,FACTOR VIII INTRON 22 PROTEIN,0,
2019,FAH Fumarylacetoacetate,0.01,
4852,FAN protein,0,
3614,Farnesol receptor HRR-1 (HRR-1) mRNA,0,
4480,FARNESYL-DIPHOSPHATE FARNESYLTRANSFERASE,0,
5255,FAS ANTIGEN LIGAND,0,
3882,Fas-associated death domain protein interleukin-1b-converting enzyme 2 mRNA,0,
137,Fas-binding protein (DAXX) mRNA; partial cds,0,
4741,FAST kinase,0,
4525,Fast MyBP-C,0,
3842,Fatty acid amide hydrolase mRNA,0,
6443,Fatty acid synthase {3' region} [human; breast and HepG2 cells; mRNA Partial; 2237 nt],0,
2385,FATTY ACID-BINDING PROTEIN; EPIDERMAL,0,
6588,FATTY ACID-BINDING PROTEIN; HEART,0,
1767,FATTY ACID-BINDING PROTEIN; INTESTINAL,0,
5565,Fatty acids omega-hydroxylase (cytochrome P-450HKV),0,
4553,FAU Finkel-Biskis-Reilly murine sarcoma virus (FBR-MuSV) ubiquitously expressed (fox derived),0,
5044,Fb19 mRNA,0,
4251,FBLN1 Fibulin 1,0,
4683,FBLN2 Fibulin 2,0,
1319,FBN1 Fibrillin 1 (Marfan syndrome),0,
2611,FBN2 Fibrillin 2,0,
2915,FBP1 Fructose-bisphosphatase 1,0,
6827,Fc Receptor Iib3 For Igg; Low Affinity,0,
4257,FCAR Fc fragment of IgA; receptor for,0,
1952,Fc-epsilon-receptor gamma-chain mRNA,0,
4094,FCER1A High affinity IgE receptor alpha-subunit (FcERI),0,
1730,FCER2 Fc fragment of IgE; low affinity II; receptor for (CD23A),0,
6855,FCGR2A Fc fragment of IgG; low affinity IIa; receptor for (CD32),0,
4375,FCGR2B Fc fragment of IgG; low affinity IIb; receptor for (CD32),0,
1107,FCGR3 Fc fragment of IgG; low affinity IIIa; receptor for (CD16),0,
629,FCN1 Ficolin (collagen/fibrinogen domain-containing) 1,0,
5799,FDXR gene (adrenodoxin reductase) extracted from Human adrenodoxin reductase gene,0,
3510,FE65-like protein (hFE65L) mRNA; partial cds,0,
166,FECH Ferrochelatase (protoporphyria),0,
6579,Fertilin beta mRNA,0,
4231,FES Feline sarcoma (Snyder-Theilen) viral (v-fes)/Fujinami avian sarcoma (PRCII) viral (v-fps) oncogene homolog,0,
2640,Fetal Alz-50-reactive clone 1 (FAC1) mRNA,0,
4560,Fetal beta-MHC binding factor,0,
3435,Fetal brain (239FB) mRNA; from the WAGR region,0,
637,Fetal brain mRNA for hyaluronan synthase,0,
5924,Fetal gene for apolipoprotein AI precursor,0,
461,Fetus brain mRNA for membrane glycoprotein M6,0,
449,Fetus brain mRNA for vacuolar ATPase,0,
3472,FEZ1 mRNA,0,
3473,FEZ1-T mRNA; alternatively spliced form,0,
5783,FGA Fibrinogen; A alpha polypeptide,0,
4321,FGF1 Fibroblast growth factor 1 (acidic){alternative products},0,
5992,FGF2 Fibroblast growth factor 2 (basic),0,
5952,FGF4 Fibroblast growth factor 4 (heparin secretory transforming protein 1; Kaposi sarcoma oncogene),0,
5280,FGF4 gene (transforming protein) extracted from Human transforming protein (hst) gene,0,
6334,FGF7 Fibroblast growth factor 7 (keratinocyte growth factor),0,
5346,FGF7 Fibroblast growth factor 7 (keratinocyte growth factor),0,
3262,FGF8 gene (fibroblast growth factor 8 precursor) extracted from Human fibroblast growth factor 8 (FGF8) gene,0,
246,FGF9 Fibroblast growth factor 9 (glia-activating factor),0,
4449,FGFR1 Basic fibroblast growth factor (bFGF) receptor (shorter form),0,
5358,FGFR2 Fibroblast growth factor receptor 2 (bacteria-expressed kinase; keratinocyte growth factor receptor; craniofacial dysostosis 1; Crouzon syndrome; Pfeiffer syndrome; Jackson-Weiss syndrome),0,
2148,FGFR3 Fibroblast growth factor receptor 3 (achondroplasia; thanatophoric dwarfism),0,
6023,FGFR4 Fibroblast growth factor receptor 4,0,
5134,FGL1 Fibrinogen-like 1,0,
1783,FGR Gardner-Rasheed feline sarcoma viral (v-fgr) oncogene homolog,0,
3460,FH Fumarate hydratase,0,
3701,FHIT Fragile histidine triad gene product,0,
4736,FHR-2 gene; exon 1,0,
1049,FIBRINOGEN BETA CHAIN PRECURSOR,0,
1665,Fibrinogen gamma chain and gamma-prime chain genes,0,
5781,Fibrinogen; A Alpha Polypeptide; Alt. Splice 2; E,0,
5782,Fibrinogen; A Alpha Polypeptide; Alt. Splice 3; E,0,
2699,Fibroblast activation protein mRNA,0,
916,Fibroblast Growth Factor Receptor K-Sam; Alt. Splice 1,0,
5843,Fibroblast Growth Factor Receptor K-Sam; Alt. Splice 3; K-Sam Iii,0,
917,Fibroblast Growth Factor Receptor K-Sam; Alt. Splice 4; K-Sam Iv,0,
898,Fibroblast Growth Factor; Antisense Mrna,0,
5817,Fibronectin; Alt. Splice 1,0,
382,FK-506 binding protein (fkbp12.6) gene,0,
1520,FK-506 binding protein homologue (FKBP38) mRNA,0,
795,Fk506-Binding Protein; Alt. Splice 2,0,
1977,FKBP1 FK506-binding protein 1 (12kD),0,
2342,FKBP3 FK506-binding protein 3 (25kD),0,
2325,FKBP4 FK506-binding protein 4 (59kD),0,
2595,FKHR Homolog 1 of Drosophila forkhead (rhabdomyosarcoma),0,
4313,Flg-2 gene for fibroblast growth factor receptor,0,
2427,FLI1 Friend leukemia virus integration 1,0,
3808,FLII gene,0,
4248,FLN1 Filamin 1 (actin-binding protein-280),0,
2508,FLT1 Fms-related tyrosine kinase 1 (vascular endothelial growth factor/vascular permeability factor receptor),0,
4490,FLT4 Fms-related tyrosine kinase 4,0,
847,Fmlp-Related Receptor I,0,
2143,FMO1 Flavin-containing monooxygenase 1,0,
2282,FMO2 Flavin-containing monooxygenase 2,0,
5052,FMO4 Flavin-containing monooxygenase 4,0,
5148,FMO5 Flavin containing monooxygenase 5,0,
2642,FMOD Fibromodulin,0,
6073,FMR1 Fragile X mental retardation 1,0,
6100,FMR1 Fragile X mental retardation 1,0,
5321,FMR2 Fragile X mental retardation 2,0,
6145,FMR2 Fragile X mental retardation 2,0,
6146,FMR2 Fragile X mental retardation 2,0,
5818,FN1 Fibronectin 1,0,
2222,FN1 Fibronectin 1,0,
5300,FNTA Farnesyltransferase; CAAX box; alpha,0,
6020,FNTA Farnesyltransferase; CAAX box; alpha,0,
1179,FNTB Farnesyltransferase; CAAX box; beta,0,
5819,Focal Adhesion Kinase,0,
2896,Folate receptor (FOLR1) gene,0,
1058,FOLATE RECEPTOR BETA PRECURSOR,0,
2691,FOLATE RECEPTOR GAMMA PRECURSOR,0,
1776,Follistatin gene,0,
2656,Follistatin-related protein precursor mRNA,0,
6226,FOLLITROPIN BETA CHAIN PRECURSOR,0,
2421,Folylpolyglutamate synthetase mRNA,0,
987,Forkhead Family Afx1,0,
2770,Forkhead protein FREAC-1 mRNA,0,
2771,Forkhead protein FREAC-2 mRNA; partial cds,0,
4190,FOS-RELATED ANTIGEN 1,0,
4189,FOS-RELATED ANTIGEN 2,0.001083829,
2085,FPR1 Formyl peptide receptor 1,0,
5550,FPRL2 Formyl peptide receptor-like 2,0,
6074,FRAGILE X MENTAL RETARDATION 1 PROTEIN,0,
2946,Fragile X mental retardation protein 1 homolog FXR1 mRNA,0,
3034,Fragile X mental retardation syndrome related protein (FXR2) mRNA,0,
1483,FRAP FK506 binding protein 12-rapamycin associated protein,0,
3013,FRAP FK506 binding protein 12-rapamycin associated protein,0,
2216,FRAP FK506 binding protein 12-rapamycin associated protein,0,
3218,Frataxin (FRDA) gene; promoter region and,0,
6564,FRDA Friedreich ataxia,0,
3957,Frezzled (fre) mRNA,0,
1639,FRG1 mRNA,0,
1530,Frizzled gene product mRNA,0,
3829,Frizzled homolog (FZD3) mRNA,0.005257296,
6455,FRK Fyn-related kinase,0,
458,Fructose 6-phosphate;2-kinase/fructose 2;6-bisphosphatase,0,
459,Fructose 6-phosphate;2-kinase/fructose 2;6-bisphosphatase; partial cds,0,
2167,FSHR Follicle stimulating hormone receptor,0,
1393,FTH1 Ferritin heavy chain,0,
1673,FTL Ferritin; light polypeptide,0,
1909,FUCA1 Fucosidase; alpha-L- 1; tissue,0,
6615,FUSE binding protein 2 (FBP2) mRNA; partial cds,0,
3624,FUSE binding protein 3 (FBP3) mRNA; partial cds,0,
2638,FUSE binding protein mRNA,0,
1986,FUT1 Fucosyltransferase 1 (galactoside 2-alpha-L-fucosyltransferase; Bombay phenotype included),0,
6520,FUT3 Alpha (1;3/1;4) fucosyltransferase,0,
2053,FUT4 Fucosyltransferase 4 (alpha (1;3) fucosyltransferase; myeloid-specific),0,
2972,FUT5 Fucosyltransferase 5 (alpha (1;3) fucosyltransferase),0,
4395,FVT1 Follicular lymphoma variant translocation 1,0,
3452,FX protein mRNA,0,
1727,FYN FYN oncogene related to SRC; FGR; YES,0,
3031,G protein gamma-10 subunit mRNA,0,
3032,G protein gamma-11 subunit mRNA,0,
3030,G protein gamma-4 subunit mRNA,0,
3142,G protein-activated inwardly rectifying potassium channel HGIRK1/Kir3.1 mRNA,0,
390,G protein-coupled receptor,0,
2910,G protein-coupled receptor (GPR4) gene,0,
3608,G protein-coupled receptor (STRL22) mRNA,0,
2617,G protein-coupled receptor APJ gene,0,
3545,G protein-coupled receptor GPR-NGA gene,0,
3059,G PROTEIN-COUPLED RECEPTOR KINASE GRK4,0,
1338,G PROTEIN-COUPLED RECEPTOR KINASE GRK5,0,
3341,G/T mismatch-specific thymine DNA glycosylase mRNA,0.002080952,
6354,G0S2 gene extracted from Human GOS2 gene; 5' flank and cds,0,
1637,G0S3 mRNA,0,
947,G1 Phase-Specific Gene,0,
2202,G1/S-SPECIFIC CYCLIN E,0,
3332,G16 protein (g16) mRNA; partial cds,0,
1702,G1P2 Interferon; alpha-inducible protein (clone IFI-15K),0,
2739,G2 protein mRNA; partial cds,0,
1859,G2/MITOTIC-SPECIFIC CYCLIN B1,0,
1118,G22P1 Thyroid autoantigen 70kD (Ku antigen),0.001979167,
5702,G6PD gene (glucose-6-phosphate dehydrogenase) extracted from H.sapiens G6PD gene for glucose-6-phosphate dehydrogenase,0,
1848,G6PD Glucose-6-phosphate dehydrogenase,0,
2578,G6PT Glucose-6-phosphatase,0,
4610,G9 gene encoding sialidase,0,
4489,G9a,0,
4273,GAA gene extracted from Human lysosomal alpha-glucosidase gene exon 1,0,
3587,GABA-A receptor epsilon subunit mRNA,0,
2767,GABPA GA-binding protein transcription factor; alpha subunit (60kD),0,
2768,GABPB2 GA-binding protein transcription factor; beta subunit 2 (47kD),0,
5450,GABRA1 Gamma-aminobutyric acid (GABA) A receptor; alpha 1,0,
1250,GABRA5 Gamma-aminobutyric acid (GABA) A receptor; alpha 5),0,
2538,GABRA6 Gamma-aminobutyric acid (GABA) A receptor; alpha 6,0,
6328,GABRB1 Gamma-aminobutyric acid (GABA) A receptor; beta 1,0,
7002,GABRB1 Gamma-aminobutyric acid (GABA) A receptor; beta 1,0,
2269,GABRB3 Gamma-aminobutyric acid (GABA) A receptor; beta 3,0,
4164,GABRG2 Gamma-aminobutyric acid (GABA) A receptor; gamma 2,0,
2105,GABRR1 Gamma-aminobutyric acid (GABA) receptor; rho 1,0,
2313,GABRR2 Gamma-aminobutyric acid (GABA) receptor; rho 2,0,
5354,GAD1 Glutamate decarboxylase 1 (brain; 67kD),0,
2215,GAD2 Glutamate decarboxylase 2,0,
2265,GAD2 Glutamate decarboxylase 2 (pancreatic islets and brain; 65kD),0,
1713,Gag 1 protein from  Human endogenous retrovirus HERV-K10./ntype=DNA /annot=CDS,0,
1714,Gag 2 protein from  Human endogenous retrovirus HERV-K10./ntype=DNA /annot=CDS,0,
2876,GAGE1 G antigen 1 (GAGE-1),0,
6498,GAGE4 G antigen 6 (GAGE-6),0,
4796,GAIP protein,0,
842,Gal Beta 1;3(4)Glcnac Alpha2;3-Sialyltransferase,0,
3522,Gal beta-1;3 GalNAc alpha-2;3 sialyltransferase (ST3Gal II) mRNA,0,
1649,Galactokinase (GALK1) gene,0,
5737,Galactokinase 2,0,
4540,Gal-beta(1-3/1-4)GlcNAc alpha-2.3-sialyltransferase,0,
1410,GALC Galactocerebrosidase,0,
5520,Galectin,0,
2322,GALECTIN-2,0,
3736,Gallbladder mucin MUC5B mRNA; partial cds,0,
2231,GALN Galanin,0,
2072,GALT Galactose-1-phosphate uridyl transferase,0,
1771,GALT Galactose-1-phosphate uridyltransferase,0,
3729,Gamma SNAP mRNA,0,
4735,Gamma subunit of sodium potassium ATPase,0,
900,Gamma-Aminobutyric Acid (Gaba) A Receptor Beta 2 Subunit,0,
5767,Gamma-Aminobutyric Acid (Gaba) A Receptor; Alpha Subunit,0,
5511,Gamma-aminobutyric acidA receptor alpha 2 subunit [human; fetal brain; mRNA; 2189 nt],0,
1687,Gamma-B-crystallin gene (gamma 1-2),0,
1168,Gamma-G2-psi gene extracted from Human gamma-C-crystallin (gamma-3) gene,0,
1167,Gamma-G2-psi gene extracted from Human gamma-C-crystallin (gamma-3) gene,0,
3400,Gamma-glutamyl hydrolase (hGH) mRNA,0,
5785,Gamma-Glutamyltransferase 1 (Gb:J04131),0,
2145,GAMMA-GLUTAMYLTRANSPEPTIDASE 5 PRECURSOR,0,
1091,GAMMA-INTERFERON-INDUCIBLE PROTEIN IP-30 PRECURSOR,0,
3087,Gamma-sarcoglycan mRNA,0,
3646,GAP binding protein p62dok (DOK) mRNA,0,
3047,GAP SH3 binding protein mRNA,0,
6972,GAP43 Growth associated protein 43,0,
4946,GAPD Glyceraldehyde-3-phosphate dehydrogenase,0,
4389,GAPD Glyceraldehyde-3-phosphate dehydrogenase,0,
7096,GAPD Glyceraldehyde-3-phosphate dehydrogenase,0,
170,GAPD Glyceraldehyde-3-phosphate dehydrogenase,0,
5090,Garp gene mRNA,0,
6473,GARS Glycyl-tRNA synthetase,0,
6985,GARS Glycyl-tRNA synthetase,0,
1742,GAS Gastrin,0,
1312,GAS1 Growth arrest-specific 1,0,
2141,Gastric H;K-ATPase catalytic subunit gene,0,
4199,GATA1 Transcription factor Eryf1,0,
2237,GATA2 GATA-binding protein 2,0,
2180,GATA2 GATA-binding protein 2,0,
5639,GATA-3 binding protein G3B mRNA; partial cds,0,
6674,GATA3 GATA-binding protein 3,0,
5465,GATA3 GATA-binding protein 3,0,
1487,GATA4 GATA-binding protein 4,0,
6139,GB DEF = (cell line HL-60) alpha topoisomerase truncated-form mRNA; 3'UTR,0,
1457,GB DEF = (clone 3.8-1) MHC class I mRNA fragment,0,
1612,GB DEF = (clone 48ES4) mRNA fragment,0,
1488,GB DEF = (clone B3B3E13) chromosome 4p16.3 DNA fragment,0,
1524,GB DEF = (clone cD24-1) Huntington's disease candidate region mRNA fragment,0,
5615,GB DEF = (clone CTG-B37) mRNA sequence,0,
1260,GB DEF = (clone F4) transmembrane protein mRNA sequence,0,
1611,GB DEF = (clone GPCR W) G protein-linked receptor gene (GPCR) gene; 5' end of cds,0,
6118,GB DEF = (clone hEHK1-L) EHK1 receptor tyrosine kinase ligand (EFL-2) mRNA,0,
1622,GB DEF = (clone JJ1a) cadherin mRNA fragment,0,
1623,GB DEF = (clone jj1b) cadherin mRNA fragment,0,
6283,GB DEF = (clone lambda-16-1) non-receptor tyrosine phosphatase 1 (PTPN1) gene; exon x+4 and 5' end cds,0.006346154,
1515,GB DEF = (clone p15INK4B/HA5) CDK inhibitory protein mRNA,0,
1516,GB DEF = (clone p17/90) rearranged iduronate-2-sulphatase homologue gene,0.007275986,
7104,GB DEF = (HLCC85) mRNA for voltage-dependent L-type Ca channel alpha 1 subunit (splice variant),0,
757,GB DEF = (lambda) DNA for immunoglobin light chain,0,
687,GB DEF = (lambda) DNA for immunoglobin light chain,0,
689,GB DEF = (lambda) DNA for immunoglobin light chain,0,
686,GB DEF = (lambda) DNA for immunoglobin light chain,0,
3022,GB DEF = (memc) mRNA; 3'UTR,0,
3021,GB DEF = (nmd) mRNA; 3'UTR,0,
2444,GB DEF = (T1)=elastin translocation allele {exon 28; translocation} [human; Genomic Mutant; 1300 nt],0,
3078,GB DEF = 13kD differentiation-associated protein mRNA; partial cds,0,
4520,GB DEF = 14A2AK DNA sequence,0,
